"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年12月16日","5.04","4.99","5.04","4.98","24.69M","1.00%"
"2019年12月13日","4.99","4.92","5.00","4.92","29.47M","2.04%"
"2019年12月12日","4.89","4.90","4.91","4.88","13.06M","-0.20%"
"2019年12月11日","4.90","4.93","4.93","4.89","22.12M","-0.61%"
"2019年12月10日","4.93","4.91","4.93","4.89","17.27M","0.41%"
"2019年12月9日","4.91","4.95","4.95","4.90","22.23M","-0.61%"
"2019年12月6日","4.94","4.92","4.94","4.91","29.41M","0.61%"
"2019年12月5日","4.91","4.87","4.92","4.87","31.72M","1.03%"
"2019年12月4日","4.86","4.81","4.86","4.81","30.71M","0.62%"
"2019年12月3日","4.83","4.79","4.84","4.78","22.82M","0.42%"
"2019年12月2日","4.81","4.80","4.83","4.80","19.06M","0.42%"
"2019年11月29日","4.79","4.84","4.84","4.75","32.31M","-1.03%"
"2019年11月28日","4.84","4.85","4.87","4.83","20.17M","-0.21%"
"2019年11月27日","4.85","4.86","4.88","4.82","28.49M","-0.21%"
"2019年11月26日","4.86","4.85","4.88","4.83","38.92M","0.41%"
"2019年11月25日","4.84","4.81","4.84","4.77","36.00M","0.62%"
"2019年11月22日","4.81","4.91","4.96","4.79","51.53M","-2.04%"
"2019年11月21日","4.91","4.93","4.93","4.89","28.27M","-0.61%"
"2019年11月20日","4.94","4.99","4.99","4.93","22.90M","-1.00%"
"2019年11月19日","4.99","4.91","5.00","4.91","31.16M","1.63%"
"2019年11月18日","4.91","4.86","4.92","4.86","33.97M","0.61%"
"2019年11月15日","4.88","4.93","4.95","4.88","29.52M","-1.21%"
"2019年11月14日","4.94","4.92","4.95","4.91","18.48M","0.41%"
"2019年11月13日","4.92","4.90","4.92","4.88","32.14M","0.41%"
"2019年11月12日","4.90","4.90","4.92","4.86","35.27M","-0.20%"
"2019年11月11日","4.91","5.00","5.00","4.90","35.46M","-2.00%"
"2019年11月8日","5.01","5.07","5.07","5.00","39.40M","0.00%"
"2019年11月7日","5.01","4.99","5.04","4.99","29.83M","0.20%"
"2019年11月6日","5.00","5.03","5.04","4.98","21.31M","-0.60%"
"2019年11月5日","5.03","5.01","5.06","4.99","33.02M","0.80%"
"2019年11月4日","4.99","4.97","5.01","4.97","32.44M","0.40%"
"2019年11月1日","4.97","4.83","4.97","4.83","45.91M","2.69%"
"2019年10月31日","4.84","4.87","4.88","4.84","27.09M","-0.21%"
"2019年10月30日","4.85","4.87","4.87","4.83","18.00M","-0.61%"
"2019年10月29日","4.88","4.89","4.91","4.87","31.91M","0.00%"
"2019年10月28日","4.88","4.89","4.89","4.83","38.09M","1.04%"
"2019年10月25日","4.83","4.78","4.84","4.75","33.54M","1.26%"
"2019年10月24日","4.77","4.77","4.80","4.75","22.90M","0.00%"
"2019年10月23日","4.77","4.80","4.81","4.76","20.02M","-0.83%"
"2019年10月22日","4.81","4.77","4.81","4.77","21.68M","0.84%"
"2019年10月21日","4.77","4.73","4.77","4.73","28.52M","0.63%"
"2019年10月18日","4.74","4.80","4.83","4.73","42.90M","-1.04%"
"2019年10月17日","4.79","4.79","4.80","4.78","17.35M","0.21%"
"2019年10月16日","4.78","4.79","4.83","4.78","22.42M","-0.21%"
"2019年10月15日","4.79","4.83","4.83","4.79","24.25M","-0.83%"
"2019年10月14日","4.83","4.83","4.87","4.82","30.91M","1.05%"
"2019年10月11日","4.78","4.76","4.80","4.74","35.35M","0.42%"
"2019年10月10日","4.76","4.68","4.76","4.67","29.95M","1.49%"
"2019年10月9日","4.69","4.67","4.69","4.64","26.87M","0.00%"
"2019年10月8日","4.69","4.67","4.73","4.67","36.22M","0.64%"
"2019年9月30日","4.66","4.71","4.72","4.65","29.20M","-1.06%"
"2019年9月27日","4.71","4.66","4.72","4.66","29.25M","0.86%"
"2019年9月26日","4.67","4.76","4.77","4.67","40.14M","-1.68%"
"2019年9月25日","4.75","4.78","4.79","4.74","28.33M","-1.04%"
"2019年9月24日","4.80","4.79","4.84","4.78","30.20M","0.21%"
"2019年9月23日","4.79","4.82","4.85","4.75","37.24M","-0.83%"
"2019年9月20日","4.83","4.83","4.84","4.82","18.99M","0.21%"
"2019年9月19日","4.82","4.79","4.82","4.77","32.36M","1.05%"
"2019年9月18日","4.77","4.76","4.79","4.76","27.90M","0.42%"
